Type of exp	TP	FN	TN	FP	AUC	AUH	accuracy	precision	F1 score	specificity	sensitivity	acc est
SVMprob-HL-extA	78	9	63	24	  0.87	  0.89	 81.03%	 76.47%	  0.83	 72.41%	 89.66%	 81.03%
RF-HL-extA	68	19	72	15	  0.89	  0.90	 80.46%	 81.93%	  0.80	 82.76%	 78.16%	 80.46%
SVMprob-HR-extA	76	11	62	25	  0.85	  0.87	 79.31%	 75.25%	  0.81	 71.26%	 87.36%	 79.31%
RF-HR-extA	82	5	60	27	  0.89	  0.91	 81.61%	 75.23%	  0.84	 68.97%	 94.25%	 81.61%
SVMprob-HU-extA	63	24	75	12	  0.86	  0.88	 79.31%	 84.00%	  0.78	 86.21%	 72.41%	 79.31%
RF-HU-extA	75	12	61	26	  0.85	  0.87	 78.16%	 74.26%	  0.80	 70.11%	 86.21%	 78.16%
SVMprob-H-extA	82	5	57	30	  0.83	  0.86	 79.89%	 73.21%	  0.82	 65.52%	 94.25%	 79.89%
RF-H-extA	73	14	62	25	  0.83	  0.84	 77.59%	 74.49%	  0.79	 71.26%	 83.91%	 77.59%
SVMprob-L-extA	56	31	73	14	  0.81	  0.83	 74.14%	 80.00%	  0.71	 83.91%	 64.37%	 74.14%
RF-L-extA	56	31	76	11	  0.82	  0.84	 75.86%	 83.58%	  0.73	 87.36%	 64.37%	 75.86%
SVMprob-MHL-extA	76	11	65	22	  0.88	  0.89	 81.03%	 77.55%	  0.82	 74.71%	 87.36%	 81.03%
RF-MHL-extA	81	6	59	28	  0.89	  0.90	 80.46%	 74.31%	  0.83	 67.82%	 93.10%	 80.46%
SVMprob-MHR-extA	76	11	63	24	  0.85	  0.87	 79.89%	 76.00%	  0.81	 72.41%	 87.36%	 79.89%
RF-MHR-extA	82	5	61	26	  0.89	  0.91	 82.18%	 75.93%	  0.84	 70.11%	 94.25%	 82.18%
SVMprob-MHU-extA	67	20	70	17	  0.87	  0.88	 78.74%	 79.76%	  0.78	 80.46%	 77.01%	 78.74%
RF-MHU-extA	72	15	68	19	  0.87	  0.88	 80.46%	 79.12%	  0.81	 78.16%	 82.76%	 80.46%
SVMprob-MH-extA	80	7	59	28	  0.84	  0.86	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
RF-MH-extA	64	23	73	14	  0.83	  0.85	 78.74%	 82.05%	  0.78	 83.91%	 73.56%	 78.74%
SVMprob-ML-extA	67	20	68	19	  0.84	  0.86	 77.59%	 77.91%	  0.77	 78.16%	 77.01%	 77.59%
RF-ML-extA	57	30	75	12	  0.83	  0.85	 75.86%	 82.61%	  0.73	 86.21%	 65.52%	 75.86%
SVMprob-MR-extA	59	28	67	20	  0.76	  0.78	 72.41%	 74.68%	  0.71	 77.01%	 67.82%	 72.41%
RF-MR-extA	61	26	70	17	  0.81	  0.83	 75.29%	 78.21%	  0.74	 80.46%	 70.11%	 75.29%
SVMprob-MSHL-extA	76	11	65	22	  0.88	  0.89	 81.03%	 77.55%	  0.82	 74.71%	 87.36%	 81.03%
RF-MSHL-extA	61	26	80	7	  0.89	  0.90	 81.03%	 89.71%	  0.79	 91.95%	 70.11%	 81.03%
SVMprob-MSHR-extA	76	11	62	25	  0.85	  0.87	 79.31%	 75.25%	  0.81	 71.26%	 87.36%	 79.31%
RF-MSHR-extA	73	14	67	20	  0.89	  0.90	 80.46%	 78.49%	  0.81	 77.01%	 83.91%	 80.46%
SVMprob-MSHU-extA	66	21	72	15	  0.87	  0.88	 79.31%	 81.48%	  0.79	 82.76%	 75.86%	 79.31%
RF-MSHU-extA	74	13	63	24	  0.86	  0.87	 78.74%	 75.51%	  0.80	 72.41%	 85.06%	 78.74%
SVMprob-MSH-extA	80	7	59	28	  0.84	  0.85	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
RF-MSH-extA	65	22	72	15	  0.83	  0.85	 78.74%	 81.25%	  0.78	 82.76%	 74.71%	 78.74%
SVMprob-MSL-extA	70	17	71	16	  0.87	  0.89	 81.03%	 81.40%	  0.81	 81.61%	 80.46%	 81.03%
RF-MSL-extA	57	30	76	11	  0.85	  0.87	 76.44%	 83.82%	  0.74	 87.36%	 65.52%	 76.44%
SVMprob-MSR-extA	70	17	67	20	  0.85	  0.86	 78.74%	 77.78%	  0.79	 77.01%	 80.46%	 78.74%
RF-MSR-extA	51	36	79	8	  0.84	  0.85	 74.71%	 86.44%	  0.70	 90.80%	 58.62%	 74.71%
SVMprob-MSU-extA	69	18	68	19	  0.86	  0.87	 78.74%	 78.41%	  0.79	 78.16%	 79.31%	 78.74%
RF-MSU-extA	56	31	68	19	  0.78	  0.80	 71.26%	 74.67%	  0.69	 78.16%	 64.37%	 71.26%
SVMprob-MSVHL-extA	73	14	70	17	  0.87	  0.88	 82.18%	 81.11%	  0.82	 80.46%	 83.91%	 82.18%
RF-MSVHL-extA	83	4	59	28	  0.89	  0.90	 81.61%	 74.77%	  0.84	 67.82%	 95.40%	 81.61%
SVMprob-MSVHR-extA	61	26	76	11	  0.86	  0.87	 78.74%	 84.72%	  0.77	 87.36%	 70.11%	 78.74%
RF-MSVHR-extA	78	9	64	23	  0.89	  0.91	 81.61%	 77.23%	  0.83	 73.56%	 89.66%	 81.61%
SVMprob-MSVHU-extA	72	15	69	18	  0.89	  0.90	 81.03%	 80.00%	  0.81	 79.31%	 82.76%	 81.03%
RF-MSVHU-extA	71	16	71	16	  0.88	  0.89	 81.61%	 81.61%	  0.82	 81.61%	 81.61%	 81.61%
SVMprob-MSVH-extA	73	14	66	21	  0.84	  0.86	 79.89%	 77.66%	  0.81	 75.86%	 83.91%	 79.89%
RF-MSVH-extA	67	20	73	14	  0.84	  0.86	 80.46%	 82.72%	  0.80	 83.91%	 77.01%	 80.46%
SVMprob-MSVL-extA	71	16	70	17	  0.87	  0.88	 81.03%	 80.68%	  0.81	 80.46%	 81.61%	 81.03%
RF-MSVL-extA	71	16	67	20	  0.87	  0.88	 79.31%	 78.02%	  0.80	 77.01%	 81.61%	 79.31%
SVMprob-MSVR-extA	61	26	72	15	  0.81	  0.83	 76.44%	 80.26%	  0.75	 82.76%	 70.11%	 76.44%
RF-MSVR-extA	68	19	68	19	  0.85	  0.87	 78.16%	 78.16%	  0.78	 78.16%	 78.16%	 78.16%
SVMprob-MSVU-extA	70	17	71	16	  0.87	  0.89	 81.03%	 81.40%	  0.81	 81.61%	 80.46%	 81.03%
RF-MSVU-extA	73	14	62	25	  0.84	  0.85	 77.59%	 74.49%	  0.79	 71.26%	 83.91%	 77.59%
SVMprob-MSV-extA	58	29	75	12	  0.79	  0.83	 76.44%	 82.86%	  0.74	 86.21%	 66.67%	 76.44%
RF-MSV-extA	62	25	68	19	  0.81	  0.82	 74.71%	 76.54%	  0.74	 78.16%	 71.26%	 74.71%
SVMprob-MS-extA	58	29	70	17	  0.80	  0.81	 73.56%	 77.33%	  0.72	 80.46%	 66.67%	 73.56%
RF-MS-extA	64	23	50	37	  0.69	  0.72	 65.52%	 63.37%	  0.68	 57.47%	 73.56%	 65.52%
SVMprob-MSiHL-extA	65	22	75	12	  0.86	  0.87	 80.46%	 84.42%	  0.79	 86.21%	 74.71%	 80.46%
RF-MSiHL-extA	77	10	65	22	  0.89	  0.90	 81.61%	 77.78%	  0.83	 74.71%	 88.51%	 81.61%
SVMprob-MSiHR-extA	75	12	63	24	  0.84	  0.86	 79.31%	 75.76%	  0.81	 72.41%	 86.21%	 79.31%
RF-MSiHR-extA	65	22	76	11	  0.89	  0.91	 81.03%	 85.53%	  0.80	 87.36%	 74.71%	 81.03%
SVMprob-MSiHU-extA	73	14	69	18	  0.88	  0.89	 81.61%	 80.22%	  0.82	 79.31%	 83.91%	 81.61%
RF-MSiHU-extA	74	13	61	26	  0.86	  0.87	 77.59%	 74.00%	  0.79	 70.11%	 85.06%	 77.59%
SVMprob-MSiH-extA	77	10	60	27	  0.84	  0.85	 78.74%	 74.04%	  0.81	 68.97%	 88.51%	 78.74%
RF-MSiH-extA	69	18	70	17	  0.84	  0.85	 79.89%	 80.23%	  0.80	 80.46%	 79.31%	 79.89%
SVMprob-MSiL-extA	74	13	70	17	  0.88	  0.89	 82.76%	 81.32%	  0.83	 80.46%	 85.06%	 82.76%
RF-MSiL-extA	61	26	79	8	  0.88	  0.89	 80.46%	 88.41%	  0.78	 90.80%	 70.11%	 80.46%
SVMprob-MSiR-extA	59	28	77	10	  0.83	  0.86	 78.16%	 85.51%	  0.76	 88.51%	 67.82%	 78.16%
RF-MSiR-extA	73	14	65	22	  0.86	  0.87	 79.31%	 76.84%	  0.80	 74.71%	 83.91%	 79.31%
SVMprob-MSiU-extA	72	15	74	13	  0.88	  0.89	 83.91%	 84.71%	  0.84	 85.06%	 82.76%	 83.91%
RF-MSiU-extA	67	20	64	23	  0.83	  0.84	 75.29%	 74.44%	  0.76	 73.56%	 77.01%	 75.29%
SVMprob-MSiVHL-extA	80	7	59	28	  0.87	  0.88	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
RF-MSiVHL-extA	76	11	65	22	  0.89	  0.91	 81.03%	 77.55%	  0.82	 74.71%	 87.36%	 81.03%
SVMprob-MSiVHR-extA	65	22	72	15	  0.85	  0.87	 78.74%	 81.25%	  0.78	 82.76%	 74.71%	 78.74%
RF-MSiVHR-extA	77	10	69	18	  0.91	  0.92	 83.91%	 81.05%	  0.85	 79.31%	 88.51%	 83.91%
SVMprob-MSiVHU-extA	75	12	65	22	  0.88	  0.89	 80.46%	 77.32%	  0.82	 74.71%	 86.21%	 80.46%
RF-MSiVHU-extA	70	17	70	17	  0.88	  0.89	 80.46%	 80.46%	  0.80	 80.46%	 80.46%	 80.46%
SVMprob-MSiVH-extA	58	29	79	8	  0.85	  0.86	 78.74%	 87.88%	  0.76	 90.80%	 66.67%	 78.74%
RF-MSiVH-extA	66	21	73	14	  0.85	  0.87	 79.89%	 82.50%	  0.79	 83.91%	 75.86%	 79.89%
SVMprob-MSiVL-extA	81	6	60	27	  0.87	  0.88	 81.03%	 75.00%	  0.83	 68.97%	 93.10%	 81.03%
RF-MSiVL-extA	73	14	67	20	  0.88	  0.90	 80.46%	 78.49%	  0.81	 77.01%	 83.91%	 80.46%
SVMprob-MSiVR-extA	65	22	69	18	  0.83	  0.85	 77.01%	 78.31%	  0.76	 79.31%	 74.71%	 77.01%
RF-MSiVR-extA	75	12	64	23	  0.87	  0.88	 79.89%	 76.53%	  0.81	 73.56%	 86.21%	 79.89%
SVMprob-MSiVU-extA	74	13	68	19	  0.88	  0.89	 81.61%	 79.57%	  0.82	 78.16%	 85.06%	 81.61%
RF-MSiVU-extA	76	11	61	26	  0.87	  0.88	 78.74%	 74.51%	  0.80	 70.11%	 87.36%	 78.74%
SVMprob-MSiV-extA	55	32	73	14	  0.80	  0.81	 73.56%	 79.71%	  0.71	 83.91%	 63.22%	 73.56%
RF-MSiV-extA	70	17	68	19	  0.85	  0.86	 79.31%	 78.65%	  0.80	 78.16%	 80.46%	 79.31%
SVMprob-MSi-extA	63	24	61	26	  0.74	  0.76	 71.26%	 70.79%	  0.72	 70.11%	 72.41%	 71.26%
RF-MSi-extA	62	25	70	17	  0.80	  0.81	 75.86%	 78.48%	  0.75	 80.46%	 71.26%	 75.86%
SVMprob-MU-extA	56	31	77	10	  0.83	  0.85	 76.44%	 84.85%	  0.73	 88.51%	 64.37%	 76.44%
RF-MU-extA	55	32	67	20	  0.75	  0.77	 70.11%	 73.33%	  0.68	 77.01%	 63.22%	 70.11%
SVMprob-MVHL-extA	74	13	68	19	  0.87	  0.87	 81.61%	 79.57%	  0.82	 78.16%	 85.06%	 81.61%
RF-MVHL-extA	76	11	66	21	  0.89	  0.91	 81.61%	 78.35%	  0.83	 75.86%	 87.36%	 81.61%
SVMprob-MVHR-extA	66	21	71	16	  0.86	  0.87	 78.74%	 80.49%	  0.78	 81.61%	 75.86%	 78.74%
RF-MVHR-extA	78	9	65	22	  0.90	  0.91	 82.18%	 78.00%	  0.83	 74.71%	 89.66%	 82.18%
SVMprob-MVHU-extA	72	15	70	17	  0.88	  0.89	 81.61%	 80.90%	  0.82	 80.46%	 82.76%	 81.61%
RF-MVHU-extA	66	21	73	14	  0.88	  0.89	 79.89%	 82.50%	  0.79	 83.91%	 75.86%	 79.89%
SVMprob-MVH-extA	73	14	64	23	  0.84	  0.86	 78.74%	 76.04%	  0.80	 73.56%	 83.91%	 78.74%
RF-MVH-extA	67	20	72	15	  0.85	  0.86	 79.89%	 81.71%	  0.79	 82.76%	 77.01%	 79.89%
SVMprob-MVL-extA	70	17	68	19	  0.86	  0.87	 79.31%	 78.65%	  0.80	 78.16%	 80.46%	 79.31%
RF-MVL-extA	69	18	70	17	  0.86	  0.88	 79.89%	 80.23%	  0.80	 80.46%	 79.31%	 79.89%
SVMprob-MVR-extA	53	34	78	9	  0.79	  0.81	 75.29%	 85.48%	  0.71	 89.66%	 60.92%	 75.29%
RF-MVR-extA	75	12	62	25	  0.84	  0.87	 78.74%	 75.00%	  0.80	 71.26%	 86.21%	 78.74%
SVMprob-MVU-extA	73	14	67	20	  0.87	  0.88	 80.46%	 78.49%	  0.81	 77.01%	 83.91%	 80.46%
RF-MVU-extA	74	13	63	24	  0.83	  0.85	 78.74%	 75.51%	  0.80	 72.41%	 85.06%	 78.74%
SVMprob-MV-extA	59	28	68	19	  0.77	  0.80	 72.99%	 75.64%	  0.72	 78.16%	 67.82%	 72.99%
RF-MV-extA	65	22	62	25	  0.79	  0.81	 72.99%	 72.22%	  0.73	 71.26%	 74.71%	 72.99%
SVMprob-M-extA	67	20	57	30	  0.72	  0.75	 71.26%	 69.07%	  0.73	 65.52%	 77.01%	 71.26%
RF-M-extA	67	20	44	43	  0.64	  0.66	 63.79%	 60.91%	  0.68	 50.57%	 77.01%	 63.79%
SVMprob-MiHL-extA	71	16	69	18	  0.86	  0.87	 80.46%	 79.78%	  0.81	 79.31%	 81.61%	 80.46%
RF-MiHL-extA	80	7	59	28	  0.89	  0.90	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
SVMprob-MiHR-extA	75	12	63	24	  0.84	  0.86	 79.31%	 75.76%	  0.81	 72.41%	 86.21%	 79.31%
RF-MiHR-extA	67	20	75	12	  0.89	  0.90	 81.61%	 84.81%	  0.81	 86.21%	 77.01%	 81.61%
SVMprob-MiHU-extA	73	14	70	17	  0.87	  0.89	 82.18%	 81.11%	  0.82	 80.46%	 83.91%	 82.18%
RF-MiHU-extA	77	10	62	25	  0.86	  0.88	 79.89%	 75.49%	  0.81	 71.26%	 88.51%	 79.89%
SVMprob-MiH-extA	76	11	59	28	  0.84	  0.85	 77.59%	 73.08%	  0.80	 67.82%	 87.36%	 77.59%
RF-MiH-extA	67	20	71	16	  0.83	  0.85	 79.31%	 80.72%	  0.79	 81.61%	 77.01%	 79.31%
SVMprob-MiL-extA	78	9	65	22	  0.87	  0.88	 82.18%	 78.00%	  0.83	 74.71%	 89.66%	 82.18%
RF-MiL-extA	59	28	78	9	  0.87	  0.88	 78.74%	 86.76%	  0.76	 89.66%	 67.82%	 78.74%
SVMprob-MiR-extA	59	28	76	11	  0.82	  0.84	 77.59%	 84.29%	  0.75	 87.36%	 67.82%	 77.59%
RF-MiR-extA	73	14	61	26	  0.85	  0.87	 77.01%	 73.74%	  0.78	 70.11%	 83.91%	 77.01%
SVMprob-MiU-extA	68	19	77	10	  0.87	  0.89	 83.33%	 87.18%	  0.82	 88.51%	 78.16%	 83.33%
RF-MiU-extA	72	15	60	27	  0.82	  0.84	 75.86%	 72.73%	  0.77	 68.97%	 82.76%	 75.86%
SVMprob-MiVHL-extA	70	17	70	17	  0.87	  0.88	 80.46%	 80.46%	  0.80	 80.46%	 80.46%	 80.46%
RF-MiVHL-extA	80	7	62	25	  0.89	  0.90	 81.61%	 76.19%	  0.83	 71.26%	 91.95%	 81.61%
SVMprob-MiVHR-extA	63	24	74	13	  0.85	  0.87	 78.74%	 82.89%	  0.77	 85.06%	 72.41%	 78.74%
RF-MiVHR-extA	78	9	63	24	  0.90	  0.91	 81.03%	 76.47%	  0.83	 72.41%	 89.66%	 81.03%
SVMprob-MiVHU-extA	76	11	64	23	  0.88	  0.89	 80.46%	 76.77%	  0.82	 73.56%	 87.36%	 80.46%
RF-MiVHU-extA	66	21	76	11	  0.89	  0.90	 81.61%	 85.71%	  0.80	 87.36%	 75.86%	 81.61%
SVMprob-MiVH-extA	61	26	75	12	  0.85	  0.86	 78.16%	 83.56%	  0.76	 86.21%	 70.11%	 78.16%
RF-MiVH-extA	70	17	69	18	  0.85	  0.86	 79.89%	 79.55%	  0.80	 79.31%	 80.46%	 79.89%
SVMprob-MiVL-extA	81	6	57	30	  0.87	  0.87	 79.31%	 72.97%	  0.82	 65.52%	 93.10%	 79.31%
RF-MiVL-extA	76	11	63	24	  0.88	  0.89	 79.89%	 76.00%	  0.81	 72.41%	 87.36%	 79.89%
SVMprob-MiVR-extA	58	29	73	14	  0.82	  0.83	 75.29%	 80.56%	  0.73	 83.91%	 66.67%	 75.29%
RF-MiVR-extA	68	19	69	18	  0.87	  0.88	 78.74%	 79.07%	  0.79	 79.31%	 78.16%	 78.74%
SVMprob-MiVU-extA	75	12	67	20	  0.88	  0.89	 81.61%	 78.95%	  0.82	 77.01%	 86.21%	 81.61%
RF-MiVU-extA	78	9	62	25	  0.87	  0.88	 80.46%	 75.73%	  0.82	 71.26%	 89.66%	 80.46%
SVMprob-MiV-extA	65	22	60	27	  0.78	  0.80	 71.84%	 70.65%	  0.73	 68.97%	 74.71%	 71.84%
RF-MiV-extA	64	23	75	12	  0.85	  0.86	 79.89%	 84.21%	  0.79	 86.21%	 73.56%	 79.89%
SVMprob-Mi-extA	64	23	56	31	  0.72	  0.74	 68.97%	 67.37%	  0.70	 64.37%	 73.56%	 68.97%
RF-Mi-extA	64	23	66	21	  0.78	  0.80	 74.71%	 75.29%	  0.74	 75.86%	 73.56%	 74.71%
SVMprob-R-extA	13	74	79	8	  0.53	  0.53	 52.87%	 61.90%	  0.24	 90.80%	 14.94%	 52.87%
RF-R-extA	65	22	65	22	  0.80	  0.82	 74.71%	 74.71%	  0.75	 74.71%	 74.71%	 74.71%
SVMprob-SHL-extA	76	11	65	22	  0.87	  0.89	 81.03%	 77.55%	  0.82	 74.71%	 87.36%	 81.03%
RF-SHL-extA	84	3	56	31	  0.89	  0.91	 80.46%	 73.04%	  0.83	 64.37%	 96.55%	 80.46%
SVMprob-SHR-extA	76	11	63	24	  0.85	  0.87	 79.89%	 76.00%	  0.81	 72.41%	 87.36%	 79.89%
RF-SHR-extA	61	26	79	8	  0.89	  0.90	 80.46%	 88.41%	  0.78	 90.80%	 70.11%	 80.46%
SVMprob-SHU-extA	65	22	75	12	  0.87	  0.89	 80.46%	 84.42%	  0.79	 86.21%	 74.71%	 80.46%
RF-SHU-extA	75	12	62	25	  0.85	  0.87	 78.74%	 75.00%	  0.80	 71.26%	 86.21%	 78.74%
SVMprob-SH-extA	79	8	58	29	  0.83	  0.85	 78.74%	 73.15%	  0.81	 66.67%	 90.80%	 78.74%
RF-SH-extA	63	24	74	13	  0.83	  0.85	 78.74%	 82.89%	  0.77	 85.06%	 72.41%	 78.74%
SVMprob-SL-extA	65	22	75	12	  0.86	  0.88	 80.46%	 84.42%	  0.79	 86.21%	 74.71%	 80.46%
RF-SL-extA	53	34	80	7	  0.85	  0.87	 76.44%	 88.33%	  0.72	 91.95%	 60.92%	 76.44%
SVMprob-SR-extA	70	17	50	37	  0.70	  0.75	 68.97%	 65.42%	  0.72	 57.47%	 80.46%	 68.97%
RF-SR-extA	78	9	49	38	  0.82	  0.84	 72.99%	 67.24%	  0.77	 56.32%	 89.66%	 72.99%
SVMprob-SU-extA	73	14	61	26	  0.85	  0.86	 77.01%	 73.74%	  0.78	 70.11%	 83.91%	 77.01%
RF-SU-extA	50	37	74	13	  0.78	  0.80	 71.26%	 79.37%	  0.67	 85.06%	 57.47%	 71.26%
SVMprob-SVHL-extA	74	13	69	18	  0.87	  0.87	 82.18%	 80.43%	  0.83	 79.31%	 85.06%	 82.18%
RF-SVHL-extA	81	6	60	27	  0.89	  0.90	 81.03%	 75.00%	  0.83	 68.97%	 93.10%	 81.03%
SVMprob-SVHR-extA	74	13	61	26	  0.86	  0.87	 77.59%	 74.00%	  0.79	 70.11%	 85.06%	 77.59%
RF-SVHR-extA	81	6	61	26	  0.89	  0.91	 81.61%	 75.70%	  0.84	 70.11%	 93.10%	 81.61%
SVMprob-SVHU-extA	72	15	69	18	  0.89	  0.90	 81.03%	 80.00%	  0.81	 79.31%	 82.76%	 81.03%
RF-SVHU-extA	73	14	66	21	  0.88	  0.89	 79.89%	 77.66%	  0.81	 75.86%	 83.91%	 79.89%
SVMprob-SVH-extA	73	14	66	21	  0.85	  0.86	 79.89%	 77.66%	  0.81	 75.86%	 83.91%	 79.89%
RF-SVH-extA	69	18	70	17	  0.85	  0.86	 79.89%	 80.23%	  0.80	 80.46%	 79.31%	 79.89%
SVMprob-SVL-extA	68	19	71	16	  0.87	  0.88	 79.89%	 80.95%	  0.80	 81.61%	 78.16%	 79.89%
RF-SVL-extA	72	15	65	22	  0.87	  0.88	 78.74%	 76.60%	  0.80	 74.71%	 82.76%	 78.74%
SVMprob-SVR-extA	64	23	67	20	  0.80	  0.81	 75.29%	 76.19%	  0.75	 77.01%	 73.56%	 75.29%
RF-SVR-extA	72	15	65	22	  0.85	  0.87	 78.74%	 76.60%	  0.80	 74.71%	 82.76%	 78.74%
SVMprob-SVU-extA	75	12	64	23	  0.88	  0.89	 79.89%	 76.53%	  0.81	 73.56%	 86.21%	 79.89%
RF-SVU-extA	75	12	58	29	  0.84	  0.85	 76.44%	 72.12%	  0.79	 66.67%	 86.21%	 76.44%
SVMprob-SV-extA	66	21	62	25	  0.79	  0.80	 73.56%	 72.53%	  0.74	 71.26%	 75.86%	 73.56%
RF-SV-extA	60	27	72	15	  0.80	  0.83	 75.86%	 80.00%	  0.74	 82.76%	 68.97%	 75.86%
